序号,步骤名称,步骤类型,所属里程碑
1,01召开项目启动会,标准产品,01项目正式启动
2,02系统部署需求调研,标准产品,02需求确定
3,03档案业务现状及需求调研,标准产品,02需求确定
4,04历史数据迁移需求调研,数据迁移,02需求确定
5,05接口需求调研,接口开发,02需求确定
6,06个性化功能需求调研,个性化功能开发,02需求确定
7,07系统参数配置,标准产品,03完成标准产品功能配置
8,08存储配置,标准产品,03完成标准产品功能配置
9,09导入通用初始化库（不需要导档案门类）,标准产品,03完成标准产品功能配置
10,10设置全宗,标准产品,03完成标准产品功能配置
11,11设置门类结构、规则及字典,标准产品,03完成标准产品功能配置
12,12设置档案门类,标准产品,03完成标准产品功能配置
13,13关联门类结构并检查门类规则,标准产品,03完成标准产品功能配置
14,14设置组织机构,标准产品,03完成标准产品功能配置
15,15设置用户,标准产品,03完成标准产品功能配置
16,16设置角色权限及用户赋权,标准产品,03完成标准产品功能配置
17,17设置鉴定、销毁表单及流程（如需要）,标准产品,03完成标准产品功能配置
18,18设置数据报表,标准产品,03完成标准产品功能配置
19,19设置档案资源统计、移交接收统计、档案利用统计,标准产品,03完成标准产品功能配置
20,20配置手动登记借阅模板,标准产品,03完成标准产品功能配置
21,21配置水印,标准产品,03完成标准产品功能配置
22,22配置备份策略,标准产品,03完成标准产品功能配置
23,23配置四性检测（如需要）,标准产品,03完成标准产品功能配置
24,24完成其他功能设置（如需要，例如发布管理、库房配置、菜单管理）,标准产品,03完成标准产品功能配置
25,25标准产品整体功能跑通确认及调整,标准产品,03完成标准产品功能配置
26,26数据迁移技术方式确定,数据迁移,04完成数据迁移
27,27执行数据迁移,数据迁移,04完成数据迁移
28,28数据迁移后核验,数据迁移,04完成数据迁移
29,29存量数据创建全文索引，并开启增量索引任务,数据迁移,04完成数据迁移
30,30接口需求及集成方式最终确定,接口开发,05完成接口开发集成
31,31接口开发,接口开发,05完成接口开发集成
32,32接口联调测试,接口开发,05完成接口开发集成
33,33接口部署,接口开发,05完成接口开发集成
34,34个性化需求整体最终确定,个性化功能开发,06完成个性化功能开发
35,35个性化需求整体设计,个性化功能开发,06完成个性化功能开发
36,36个性化需求开发,个性化功能开发,06完成个性化功能开发
37,37个性化需求测试验证,个性化功能开发,06完成个性化功能开发
38,38个性化需求部署及用户验证,个性化功能开发,06完成个性化功能开发
39,39系统上线前功能调整及其他准备工作,系统上线试运行,07完成系统上线前功能调整及其他准备工作
40,40用户培训,用户培训,07完成系统上线前功能调整及其他准备工作
41,41系统正式上线,系统上线试运行,08完成系统上线及试运行
42,42项目正式验收,系统上线试运行,09完成项目验收
